msoa21cd,all_lgb_plus,gay_or_lesbian,bisexual_and_other,all_diff_id,trans_mw,other_id,different_unanswered
E02000301,0.020247614,0.006964148,0.013283466,0.017677419,0.00683871,0.000774194,0.010064516
E02000302,0.017167382,0.007439199,0.009728183,0.004862005,0.001573002,0.000715001,0.002574003
E02000303,0.022555229,0.006488491,0.016066739,0.018075081,0.007106442,0.000154488,0.010814151
E02000304,0.018167939,0.009923664,0.008244275,0.004427481,0.002290076,0.000305344,0.001832061
E02000305,0.025574398,0.012992341,0.012582057,0.010804158,0.002461707,0.000410284,0.007932166
E02000306,0.020157756,0.006134969,0.014022787,0.013155971,0.005554743,0.00058471,0.007016518
E02000307,0.018286445,0.006265985,0.01202046,0.011126743,0.003325233,0.000255787,0.007545722
E02000308,0.033768445,0.017026107,0.016742338,0.006385696,0.001986661,0.000709522,0.003689513
E02000309,0.020006821,0.003978629,0.016028191,0.019213279,0.006480218,0.000113688,0.012619372
E02000311,0.026906356,0.015626836,0.01127952,0.012336976,0.00422982,0.000352485,0.00775467
E02000312,0.041966298,0.017816894,0.024149405,0.010730765,0.003111922,0.000965769,0.006653074
E02000313,0.026938104,0.009664816,0.017273288,0.014188772,0.006169031,0.000616903,0.007402838
E02000314,0.026760563,0.010234742,0.016525822,0.013051643,0.007230047,0.000751174,0.005070423
E02000315,0.030872667,0.013446762,0.017425906,0.010839737,0.004665203,0.000686059,0.005488474
E02000317,0.039530468,0.020196789,0.019333679,0.012428793,0.003107198,0.001208355,0.00811324
E02000318,0.034985088,0.011355816,0.023629273,0.02225281,0.008947006,0.000688231,0.012617573
E02000319,0.039015606,0.019327731,0.019687875,0.01272509,0.003961585,0.000720288,0.008043217
E02000320,0.033740653,0.014043407,0.019697246,0.008397225,0.003650968,0.000912742,0.003833516
E02000321,0.034269475,0.014042126,0.020227348,0.01187291,0.004682274,0.000334448,0.006856187
E02000323,0.03935743,0.017871486,0.021485944,0.011143459,0.002810963,0.001003915,0.007328581
E02000324,0.033654632,0.018461036,0.015193596,0.009147337,0.002286834,0.001796798,0.005063705
E02000326,0.057033615,0.031384419,0.025649196,0.005417463,0.001593372,0.000637349,0.003186743
E02000327,0.04228371,0.020849571,0.021434138,0.011310452,0.003705148,0.000780031,0.006825273
E02000328,0.050056033,0.028576765,0.021479268,0.008776844,0.002427638,0.003361345,0.002987862
E02000329,0.03221957,0.017700875,0.014518696,0.007355865,0.003578529,0.00139165,0.002385686
E02000331,0.044753086,0.023148148,0.021604938,0.00941358,0.005092593,0.000925926,0.003395062
E02000332,0.042018225,0.02480594,0.017212284,0.010796221,0.004723347,0.000674764,0.005398111
E02000333,0.05621706,0.035526059,0.020691002,0.004877097,0.001560671,0.001755755,0.001560671
